 
****************************************
Report : area
Design : SystolicPod
Version: P-2019.03-SP1
Date   : Thu Sep 16 18:43:37 2021
****************************************

Library(s) Used:

    tcbn28hpmbwp35ss0p81v125c (File: /opt/tsmc/28nm/cln28hpm/stclib/9-track/Front_End/timing_power_noise/NLDM/tcbn28hpmbwp35_120a/tcbn28hpmbwp35ss0p81v125c.db)

Number of ports:                        76213
Number of nets:                        675697
Number of cells:                       557713
Number of combinational cells:         512900
Number of sequential cells:             43783
Number of macros/black boxes:               0
Number of buf/inv:                      59234
Number of references:                     132

Combinational area:             410891.132786
Buf/Inv area:                    14814.616511
Noncombinational area:           81457.609243
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                492348.742029
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
--------------------------------  -----------  -------  -----------  ----------  ------  ----------------------
SystolicPod                       492348.7420    100.0    1688.9715   1098.3600  0.0000  SystolicPod
array                             483352.3961     98.2   22935.3120  14010.4079  0.0000  SystolicArray2D
array/PE_0_0                         478.1025      0.1     404.1090     73.9935  0.0000  ProcessingElement_1023
array/PE_0_1                         474.8220      0.1     400.4640     74.3580  0.0000  ProcessingElement_1022
array/PE_0_10                        479.3175      0.1     401.0715     78.2460  0.0000  ProcessingElement_1013
array/PE_0_11                        485.8785      0.1     402.6510     83.2275  0.0000  ProcessingElement_1012
array/PE_0_12                        477.3735      0.1     401.9220     75.4515  0.0000  ProcessingElement_1011
array/PE_0_13                        479.3175      0.1     406.0530     73.2645  0.0000  ProcessingElement_1010
array/PE_0_14                        485.1495      0.1     406.9035     78.2460  0.0000  ProcessingElement_1009
array/PE_0_15                        477.2520      0.1     402.5295     74.7225  0.0000  ProcessingElement_1008
array/PE_0_16                        475.1865      0.1     401.1930     73.9935  0.0000  ProcessingElement_1007
array/PE_0_17                        474.3360      0.1     400.3425     73.9935  0.0000  ProcessingElement_1006
array/PE_0_18                        475.1865      0.1     400.0995     75.0870  0.0000  ProcessingElement_1005
array/PE_0_19                        478.9530      0.1     404.5950     74.3580  0.0000  ProcessingElement_1004
array/PE_0_2                         477.0090      0.1     403.0155     73.9935  0.0000  ProcessingElement_1021
array/PE_0_20                        474.2145      0.1     400.2210     73.9935  0.0000  ProcessingElement_1003
array/PE_0_21                        477.2520      0.1     402.5295     74.7225  0.0000  ProcessingElement_1002
array/PE_0_22                        476.7660      0.1     402.7725     73.9935  0.0000  ProcessingElement_1001
array/PE_0_23                        480.5325      0.1     402.2865     78.2460  0.0000  ProcessingElement_1000
array/PE_0_24                        482.2335      0.1     402.8940     79.3395  0.0000  ProcessingElement_999
array/PE_0_25                        477.2520      0.1     402.8940     74.3580  0.0000  ProcessingElement_998
array/PE_0_26                        478.7100      0.1     403.9875     74.7225  0.0000  ProcessingElement_997
array/PE_0_27                        476.4015      0.1     402.0435     74.3580  0.0000  ProcessingElement_996
array/PE_0_28                        481.7475      0.1     402.7725     78.9750  0.0000  ProcessingElement_995
array/PE_0_29                        479.1960      0.1     404.1090     75.0870  0.0000  ProcessingElement_994
array/PE_0_3                         480.6540      0.1     402.7725     77.8815  0.0000  ProcessingElement_1020
array/PE_0_30                        475.5510      0.1     400.8285     74.7225  0.0000  ProcessingElement_993
array/PE_0_31                        477.6165      0.1     403.6230     73.9935  0.0000  ProcessingElement_992
array/PE_0_4                         485.7570      0.1     406.4175     79.3395  0.0000  ProcessingElement_1019
array/PE_0_5                         489.5235      0.1     410.5485     78.9750  0.0000  ProcessingElement_1018
array/PE_0_6                         479.4390      0.1     405.4455     73.9935  0.0000  ProcessingElement_1017
array/PE_0_7                         477.9810      0.1     402.5295     75.4515  0.0000  ProcessingElement_1016
array/PE_0_8                         478.1025      0.1     404.4735     73.6290  0.0000  ProcessingElement_1015
array/PE_0_9                         477.3735      0.1     403.3800     73.9935  0.0000  ProcessingElement_1014
array/PE_10_0                        370.3320      0.1     325.8630     44.4690  0.0000  ProcessingElement_703
array/PE_10_1                        364.2570      0.1     320.1525     44.1045  0.0000  ProcessingElement_702
array/PE_10_10                       369.6030      0.1     325.8630     43.7400  0.0000  ProcessingElement_693
array/PE_10_11                       366.0795      0.1     321.6105     44.4690  0.0000  ProcessingElement_692
array/PE_10_12                       364.5000      0.1     320.0310     44.4690  0.0000  ProcessingElement_691
array/PE_10_13                       367.4160      0.1     323.3115     44.1045  0.0000  ProcessingElement_690
array/PE_10_14                       365.4720      0.1     321.3675     44.1045  0.0000  ProcessingElement_689
array/PE_10_15                       366.2010      0.1     322.0965     44.1045  0.0000  ProcessingElement_688
array/PE_10_16                       365.8365      0.1     321.3675     44.4690  0.0000  ProcessingElement_687
array/PE_10_17                       368.6310      0.1     324.8910     43.7400  0.0000  ProcessingElement_686
array/PE_10_18                       365.3505      0.1     320.8815     44.4690  0.0000  ProcessingElement_685
array/PE_10_19                       366.8085      0.1     321.6105     45.1980  0.0000  ProcessingElement_684
array/PE_10_2                        371.7900      0.1     327.3210     44.4690  0.0000  ProcessingElement_701
array/PE_10_20                       366.2010      0.1     321.3675     44.8335  0.0000  ProcessingElement_683
array/PE_10_21                       364.0140      0.1     319.9095     44.1045  0.0000  ProcessingElement_682
array/PE_10_22                       366.0795      0.1     321.6105     44.4690  0.0000  ProcessingElement_681
array/PE_10_23                       366.0795      0.1     321.9750     44.1045  0.0000  ProcessingElement_680
array/PE_10_24                       369.6030      0.1     325.8630     43.7400  0.0000  ProcessingElement_679
array/PE_10_25                       368.2665      0.1     323.7975     44.4690  0.0000  ProcessingElement_678
array/PE_10_26                       366.0795      0.1     321.9750     44.1045  0.0000  ProcessingElement_677
array/PE_10_27                       365.9580      0.1     321.8535     44.1045  0.0000  ProcessingElement_676
array/PE_10_28                       364.9860      0.1     320.8815     44.1045  0.0000  ProcessingElement_675
array/PE_10_29                       366.6870      0.1     322.5825     44.1045  0.0000  ProcessingElement_674
array/PE_10_3                        367.4160      0.1     323.3115     44.1045  0.0000  ProcessingElement_700
array/PE_10_30                       367.1730      0.1     322.3395     44.8335  0.0000  ProcessingElement_673
array/PE_10_31                       365.1075      0.1     321.0030     44.1045  0.0000  ProcessingElement_672
array/PE_10_4                        369.8460      0.1     325.7415     44.1045  0.0000  ProcessingElement_699
array/PE_10_5                        368.3880      0.1     324.6480     43.7400  0.0000  ProcessingElement_698
array/PE_10_6                        369.3600      0.1     325.2555     44.1045  0.0000  ProcessingElement_697
array/PE_10_7                        367.2945      0.1     323.1900     44.1045  0.0000  ProcessingElement_696
